"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2 aanvullingen"
"06/20/2019 15:15:56:389 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"175","16","50","512","0.8","16","true","community","1","27","0","true","396","268","0","244","0","only trust","4096","0.02922250316509589","26069208","363635","396"
"178","16","50","512","1","18","true","community","1","27","0","true","169","52","460","0","0","no trust","4608","0.03536340774209268","1646595","239","169"
"180","16","50","512","1","20","true","community","1","27","0","true","215","72","440","0","0","no trust","5120","0.04123140499625757","2427118","424","215"
"173","16","50","512","0.8","14","true","community","1","27","0","true","937","256","0","256","0","only trust","3584","0.027511718231075073","41001311","380473","937"
"183","16","50","512","0.8","6","true","community","1","30","0","true","337","259","0","253","0","only trust","1536","0.012289327426046168","41553980","427791","337"
"179","16","50","512","0.8","20","true","community","1","27","0","true","605","260","0","252","0","only trust","5120","0.03841413124522602","29570880","361426","605"
"184","16","50","512","1","6","true","community","1","30","0","true","302","251","0","261","0","only trust","1536","0.008769008769008766","42596930","428167","302"
"163","16","50","512","0.8","4","true","community","1","27","0","true","5000","247","1","260","4","","1024","0.0032659181096681097","1762196860","378778","5000"
"164","16","50","512","1","4","true","community","1","27","0","true","5000","3","1","214","294","","1024","0.010923549107142856","102583690","0","5000"
"168","16","50","512","1","8","true","community","1","27","0","true","2776","0","0","209","303","no trust","2048","0.015166902962743936","180734137","1328","2776"
"190","16","50","512","1","12","true","community","1","30","0","true","282","260","0","252","0","only trust","3072","0.023700162584198384","25979620","397300","282"
"189","16","50","512","0.8","12","true","community","1","30","0","true","1236","250","0","262","0","only trust","3072","0.024413683692387965","93065690","426197","1236"
"191","16","50","512","0.8","14","true","community","1","30","0","true","1383","262","0","250","0","only trust","3584","0.02856354051327929","100962280","409901","1383"
"187","16","50","512","0.8","10","true","community","1","30","0","true","3617","0","0","189","323","no trust","2560","0.022251023749427407","248880730","834","3617"
"181","16","50","512","0.8","4","true","community","1","30","0","true","5000","253","2","254","3","","1024","0.007316468253968255","1950828000","405242","5000"
"182","16","50","512","1","4","true","community","1","30","0","true","5000","241","2","267","2","","1024","0.006000054632867134","1889972900","396465","5000"
"196","16","50","512","1","18","true","community","1","30","0","true","305","258","0","254","0","only trust","4608","0.0354378311147431","27037640","393011","305"
"197","16","50","512","0.8","20","true","community","1","30","0","true","196","63","449","0","0","no trust","5120","0.03852421584160113","3540050","225","196"
"198","16","50","512","1","20","true","community","1","30","0","true","143","52","459","0","1","no trust","5120","0.03926058910077722","2618200","519","143"
"185","16","50","512","0.8","8","true","community","1","30","0","true","5000","143","190","123","56","","2048","0.01615149779499503","502065770","119972","5000"
"186","16","50","512","1","8","true","community","1","30","0","true","5000","100","204","105","103","","2048","0.013852981870559982","564221030","109208","5000"
"195","16","50","512","0.8","18","true","community","1","30","0","true","1130","94","418","0","0","no trust","4608","0.03522120684421876","48929980","465","1130"
"188","16","50","512","1","10","true","community","1","30","0","true","5000","102","338","40","32","","2560","0.018571425393304017","468783820","40489","5000"
"194","16","50","512","1","16","true","community","1","30","0","true","1856","257","0","255","0","only trust","4096","0.03163882639245316","127112490","402465","1856"
"193","16","50","512","0.8","16","true","community","1","30","0","true","3333","0","0","181","331","no trust","4096","0.03133204164841027","227236250","2040","3333"
